"Time (s) Run #1";"Angle, Ch 1+2 (rad) Run #1";"Angle, Ch 3+4 (rad) Run #1";"Output Voltage (V) Run #1";"Output Current (A) Run #1";"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4";"Time (s) Run #5";"Angle, Ch 1+2 (rad) Run #5";"Angle, Ch 3+4 (rad) Run #5";"Output Voltage (V) Run #5";"Output Current (A) Run #5";"Time (s) Run #6";"Angle, Ch 1+2 (rad) Run #6";"Angle, Ch 3+4 (rad) Run #6";"Output Voltage (V) Run #6";"Output Current (A) Run #6";"Time (s) Run #7";"Angle, Ch 1+2 (rad) Run #7";"Angle, Ch 3+4 (rad) Run #7";"Output Voltage (V) Run #7";"Output Current (A) Run #7";"Time (s) Run #8";"Angle, Ch 1+2 (rad) Run #8";"Angle, Ch 3+4 (rad) Run #8";"Output Voltage (V) Run #8";"Output Current (A) Run #8";"Time (s) Run #9";"Angle, Ch 1+2 (rad) Run #9";"Angle, Ch 3+4 (rad) Run #9";"Output Voltage (V) Run #9";"Output Current (A) Run #9";"Time (s) Run #10";"Angle, Ch 1+2 (rad) Run #10";"Angle, Ch 3+4 (rad) Run #10";"Output Voltage (V) Run #10";"Output Current (A) Run #10";"Time (s) Run #11";"Angle, Ch 1+2 (rad) Run #11";"Angle, Ch 3+4 (rad) Run #11";"Output Voltage (V) Run #11";"Output Current (A) Run #11";"Time (s) Run #12";"Angle, Ch 1+2 (rad) Run #12";"Angle, Ch 3+4 (rad) Run #12";"Output Voltage (V) Run #12";"Output Current (A) Run #12";"Time (s) Run #13";"Angle, Ch 1+2 (rad) Run #13";"Angle, Ch 3+4 (rad) Run #13";"Output Voltage (V) Run #13";"Output Current (A) Run #13";"Time (s) Run #14";"Angle, Ch 1+2 (rad) Run #14";"Angle, Ch 3+4 (rad) Run #14";"Output Voltage (V) Run #14";"Output Current (A) Run #14";"Time (s) Run #15";"Angle, Ch 1+2 (rad) Run #15";"Angle, Ch 3+4 (rad) Run #15";"Output Voltage (V) Run #15";"Output Current (A) Run #15";"Time (s) Run #16";"Angle, Ch 1+2 (rad) Run #16";"Angle, Ch 3+4 (rad) Run #16";"Output Voltage (V) Run #16";"Output Current (A) Run #16";"Time (s) Run #17";"Angle, Ch 1+2 (rad) Run #17";"Angle, Ch 3+4 (rad) Run #17";"Output Voltage (V) Run #17";"Output Current (A) Run #17";"Time (s) Run #18";"Angle, Ch 1+2 (rad) Run #18";"Angle, Ch 3+4 (rad) Run #18";"Output Voltage (V) Run #18";"Output Current (A) Run #18";"Time (s) Run #19";"Angle, Ch 1+2 (rad) Run #19";"Angle, Ch 3+4 (rad) Run #19";"Output Voltage (V) Run #19";"Output Current (A) Run #19";"Time (s) Run #20";"Angle, Ch 1+2 (rad) Run #20";"Angle, Ch 3+4 (rad) Run #20";"Output Voltage (V) Run #20";"Output Current (A) Run #20";"Time (s) Run #21";"Angle, Ch 1+2 (rad) Run #21";"Angle, Ch 3+4 (rad) Run #21";"Output Voltage (V) Run #21";"Output Current (A) Run #21";"Time (s) Run #22";"Angle, Ch 1+2 (rad) Run #22";"Angle, Ch 3+4 (rad) Run #22";"Output Voltage (V) Run #22";"Output Current (A) Run #22";"Time (s) Run #23";"Angle, Ch 1+2 (rad) Run #23";"Angle, Ch 3+4 (rad) Run #23";"Output Voltage (V) Run #23";"Output Current (A) Run #23";"Time (s) Run #24";"Angle, Ch 1+2 (rad) Run #24";"Angle, Ch 3+4 (rad) Run #24";"Output Voltage (V) Run #24";"Output Current (A) Run #24"
6,150;-1,518;0,017;3,999;0,234;6,150;0,559;0,977;3,999;0,248;6,150;0,559;0,960;3,999;0,244;6,150;1,606;-1,449;4,747;0,236;6,150;2,112;1,257;4,747;0,264;6,150;-2,478;-1,361;4,747;0,235;6,150;0,908;0,419;4,995;0,236;6,150;1,990;0,105;4,995;0,244;6,150;1,972;-0,349;4,995;0,256;6,150;-3,386;-1,902;4,499;0,230;6,150;-5,166;-0,628;4,499;0,231;6,150;3,246;1,815;4,499;0,248;6,150;-3,892;-1,553;4,601;0,233;6,150;-0,942;-2,356;4,601;0,235;6,150;4,922;-1,204;4,601;0,269;6,150;5,568;-1,484;4,550;0,259;6,150;-1,134;-2,409;4,550;0,237;6,150;-5,655;1,274;4,550;0,233;6,150;2,304;1,623;4,521;0,239;6,150;5,986;-0,035;4,521;0,256;6,150;-4,817;-0,820;4,521;0,235;6,150;-5,742;0,000;4,506;0,232;6,150;-3,456;2,217;4,506;0,230;6,150;-0,471;2,635;4,507;0,236
6,200;-1,937;-0,017;3,999;0,234;6,200;0,000;0,716;3,999;0,243;6,200;0,035;0,698;3,999;0,245;6,200;0,628;-1,239;4,747;0,239;6,200;2,915;0,960;4,747;0,262;6,200;-3,246;-1,030;4,747;0,240;6,200;0,314;0,750;4,995;0,234;6,200;1,693;0,244;4,995;0,237;6,200;2,199;-0,419;4,995;0,257;6,200;-4,311;-1,745;4,499;0,232;6,200;-5,637;-0,332;4,499;0,231;6,200;4,171;1,571;4,499;0,252;6,200;-4,660;-1,257;4,601;0,234;6,200;-2,007;-2,129;4,601;0,233;6,200;4,573;-1,484;4,601;0,252;6,200;4,992;-1,658;4,550;0,254;6,200;-2,251;-2,321;4,550;0,228;6,200;-5,236;1,536;4,550;0,236;6,200;3,334;1,501;4,521;0,242;6,200;6,126;-0,314;4,521;0,265;6,200;-5,393;-0,576;4,521;0,228;6,200;-5,917;0,279;4,506;0,231;6,200;-2,548;2,426;4,506;0,230;6,200;0,698;2,531;4,506;0,238
6,250;-2,269;-0,017;3,999;0,231;6,250;-0,559;0,471;3,999;0,245;6,250;-0,506;0,436;3,999;0,242;6,250;-0,332;-0,995;4,747;0,235;6,250;3,560;0,681;4,747;0,264;6,250;-3,822;-0,716;4,747;0,238;6,250;-0,279;1,082;4,995;0,239;6,250;1,292;0,454;4,995;0,235;6,250;2,269;-0,419;4,995;0,236;6,250;-5,079;-1,536;4,499;0,234;6,250;-5,864;-0,035;4,499;0,237;6,250;4,922;1,309;4,499;0,261;6,250;-5,219;-0,942;4,601;0,236;6,250;-2,967;-1,885;4,601;0,233;6,250;3,997;-1,763;4,601;0,269;6,250;4,206;-1,798;4,550;0,251;6,250;-3,299;-2,182;4,550;0,229;6,250;-4,573;1,745;4,550;0,233;6,250;4,224;1,292;4,521;0,253;6,250;5,986;-0,576;4,521;0,263;6,250;-5,725;-0,297;4,521;0,229;6,250;-5,829;0,576;4,506;0,233;6,250;-1,484;2,566;4,506;0,231;6,250;1,833;2,356;4,506;0,241
6,300;-2,496;0,035;3,999;0,231;6,300;-1,082;0,244;3,999;0,238;6,300;-1,030;0,209;3,999;0,243;6,300;-1,274;-0,698;4,747;0,234;6,300;4,032;0,436;4,747;0,265;6,300;-4,224;-0,436;4,747;0,241;6,300;-0,820;1,431;4,995;0,233;6,300;0,803;0,716;4,995;0,235;6,300;2,199;-0,349;4,995;0,241;6,300;-5,620;-1,274;4,499;0,232;6,300;-5,829;0,262;4,499;0,231;6,300;5,445;1,012;4,500;0,260;6,300;-5,533;-0,646;4,601;0,235;6,300;-3,805;-1,588;4,601;0,232;6,300;3,229;-2,007;4,601;0,253;6,300;3,246;-1,885;4,550;0,241;6,300;-4,206;-1,990;4,550;0,234;6,300;-3,700;1,885;4,550;0,233;6,300;4,957;1,047;4,521;0,254;6,300;5,603;-0,803;4,521;0,253;6,300;-5,812;0,000;4,521;0,236;6,300;-5,498;0,873;4,506;0,234;6,300;-0,349;2,635;4,506;0,237;6,300;2,897;2,129;4,507;0,250
6,350;-2,635;0,122;3,999;0,229;6,350;-1,588;0,052;3,999;0,237;6,350;-1,536;-0,017;3,999;0,239;6,350;-2,129;-0,384;4,747;0,233;6,350;4,259;0,227;4,747;0,262;6,350;-4,381;-0,192;4,747;0,240;6,350;-1,292;1,745;4,995;0,236;6,350;0,279;1,030;4,995;0,233;6,350;2,025;-0,209;4,995;0,238;6,350;-5,934;-0,995;4,499;0,234;6,350;-5,533;0,559;4,499;0,234;6,350;5,725;0,716;4,499;0,264;6,350;-5,568;-0,367;4,601;0,240;6,350;-4,468;-1,292;4,601;0,234;6,350;2,286;-2,217;4,601;0,247;6,350;2,164;-1,920;4,550;0,241;6,350;-4,939;-1,763;4,550;0,229;6,350;-2,635;1,937;4,550;0,235;6,350;5,480;0,768;4,521;0,264;6,350;4,974;-0,995;4,521;0,257;6,350;-5,637;0,297;4,521;0,228;6,350;-4,922;1,152;4,506;0,233;6,350;0,820;2,618;4,506;0,236;6,350;3,840;1,850;4,507;0,254
6,400;-2,653;0,262;3,999;0,224;6,400;-2,007;-0,122;3,999;0,237;6,400;-2,007;-0,227;3,999;0,237;6,400;-2,845;-0,070;4,747;0,239;6,400;4,259;0,087;4,747;0,259;6,400;-4,311;-0,052;4,747;0,244;6,400;-1,658;2,007;4,995;0,240;6,400;-0,262;1,361;4,995;0,234;6,400;1,728;0,000;4,995;0,238;6,400;-5,986;-0,698;4,499;0,237;6,400;-5,009;0,803;4,499;0,236;6,400;5,725;0,436;4,500;0,268;6,400;-5,358;-0,105;4,601;0,237;6,400;-4,904;-0,977;4,601;0,237;6,400;1,239;-2,391;4,601;0,235;6,400;1,030;-1,902;4,550;0,234;6,400;-5,445;-1,484;4,550;0,234;6,400;-1,466;1,902;4,550;0,237;6,400;5,742;0,489;4,521;0,264;6,400;4,136;-1,134;4,521;0,258;6,400;-5,236;0,576;4,521;0,237;6,400;-4,136;1,396;4,506;0,234;6,400;1,972;2,531;4,506;0,235;6,400;4,608;1,553;4,507;0,254
6,450;-2,566;0,419;3,999;0,226;6,450;-2,374;-0,244;3,999;0,232;6,450;-2,409;-0,384;3,999;0,235;6,450;-3,386;0,244;4,747;0,241;6,450;4,014;0,000;4,747;0,251;6,450;-4,014;0,017;4,747;0,243;6,450;-1,902;2,199;4,995;0,242;6,450;-0,768;1,710;4,995;0,235;6,450;1,344;0,262;4,995;0,230;6,450;-5,777;-0,401;4,499;0,234;6,450;-4,259;0,995;4,499;0,235;6,450;5,480;0,192;4,500;0,261;6,450;-4,887;0,070;4,601;0,239;6,450;-5,096;-0,681;4,601;0,236;6,450;0,122;-2,531;4,601;0,249;6,450;-0,122;-1,833;4,550;0,232;6,450;-5,707;-1,204;4,550;0,232;6,450;-0,227;1,780;4,550;0,238;6,450;5,742;0,192;4,521;0,267;6,450;3,107;-1,239;4,521;0,241;6,450;-4,590;0,855;4,521;0,231;6,450;-3,142;1,588;4,506;0,231;6,450;3,037;2,356;4,507;0,244;6,450;5,149;1,274;4,507;0,263
6,500;-2,374;0,628;3,999;0,224;6,500;-2,635;-0,332;3,999;0,232;6,500;-2,723;-0,506;3,999;0,232;6,500;-3,718;0,524;4,747;0,241;6,500;3,543;-0,017;4,747;0,249;6,500;-3,526;-0,017;4,747;0,244;6,500;-1,990;2,286;4,995;0,246;6,500;-1,222;2,042;4,995;0,234;6,500;0,890;0,576;4,995;0,231;6,500;-5,323;-0,122;4,499;0,234;6,500;-3,334;1,117;4,499;0,237;6,500;4,992;-0,035;4,500;0,259;6,500;-4,189;0,175;4,601;0,237;6,500;-5,044;-0,419;4,601;0,238;6,500;-1,012;-2,618;4,601;0,247;6,500;-1,239;-1,693;4,550;0,232;6,500;-5,707;-0,908;4,550;0,231;6,500;0,995;1,606;4,550;0,244;6,500;5,480;-0,087;4,521;0,265;6,500;1,990;-1,274;4,521;0,239;6,500;-3,752;1,082;4,521;0,229;6,500;-2,025;1,693;4,506;0,233;6,500;3,979;2,147;4,507;0,246;6,500;5,445;0,977;4,507;0,260
6,550;-2,094;0,873;3,999;0,224;6,550;-2,810;-0,384;3,999;0,229;6,550;-2,950;-0,593;3,999;0,232;6,550;-3,822;0,750;4,747;0,242;6,550;2,897;0,035;4,747;0,240;6,550;-2,845;-0,140;4,747;0,248;6,550;-1,937;2,286;4,995;0,247;6,550;-1,588;2,321;4,995;0,238;6,550;0,419;0,908;4,995;0,233;6,550;-4,625;0,140;4,499;0,233;6,550;-2,251;1,169;4,499;0,233;6,550;4,259;-0,209;4,500;0,258;6,550;-3,281;0,192;4,601;0,239;6,550;-4,712;-0,209;4,601;0,237;6,550;-2,112;-2,653;4,601;0,228;6,550;-2,234;-1,518;4,550;0,234;6,550;-5,445;-0,611;4,550;0,235;6,550;2,147;1,361;4,550;0,249;6,550;4,957;-0,349;4,521;0,265;6,550;0,785;-1,257;4,521;0,236;6,550;-2,758;1,239;4,521;0,233;6,550;-0,820;1,728;4,506;0,234;6,550;4,747;1,885;4,507;0,254;6,550;5,480;0,716;4,507;0,262
6,600;-1,728;1,134;3,999;0,224;6,600;-2,862;-0,401;3,999;0,227;6,600;-3,072;-0,646;3,999;0,230;6,600;-3,718;0,890;4,747;0,242;6,600;2,077;0,140;4,747;0,239;6,600;-2,007;-0,332;4,747;0,246;6,600;-1,745;2,164;4,995;0,249;6,600;-1,850;2,531;4,995;0,240;6,600;-0,052;1,257;4,995;0,231;6,600;-3,735;0,349;4,499;0,238;6,600;-1,065;1,117;4,499;0,239;6,600;3,334;-0,349;4,500;0,249;6,600;-2,251;0,122;4,601;0,243;6,600;-4,171;-0,070;4,601;0,239;6,600;-3,124;-2,635;4,601;0,227;6,600;-3,107;-1,292;4,550;0,231;6,600;-4,939;-0,332;4,550;0,234;6,600;3,194;1,082;4,550;0,259;6,600;4,224;-0,559;4,521;0,262;6,600;-0,419;-1,187;4,521;0,234;6,600;-1,623;1,344;4,521;0,231;6,600;0,419;1,676;4,506;0,234;6,600;5,288;1,606;4,507;0,259;6,600;5,236;0,471;4,507;0,259
6,650;-1,292;1,396;3,999;0,223;6,650;-2,827;-0,349;3,999;0,228;6,650;-3,089;-0,663;3,999;0,225;6,650;-3,368;0,960;4,747;0,244;6,650;1,169;0,314;4,747;0,232;6,650;-1,082;-0,593;4,747;0,253;6,650;-1,449;1,972;4,995;0,255;6,650;-1,972;2,653;4,995;0,241;6,650;-0,489;1,588;4,995;0,235;6,650;-2,688;0,489;4,499;0,230;6,650;0,140;0,995;4,499;0,242;6,650;2,251;-0,436;4,499;0,243;6,650;-1,117;-0,017;4,601;0,246;6,650;-3,403;-0,017;4,601;0,238;6,650;-4,014;-2,566;4,601;0,238;6,650;-3,787;-1,030;4,550;0,234;6,650;-4,206;-0,105;4,550;0,233;6,650;4,049;0,785;4,550;0,259;6,650;3,299;-0,750;4,521;0,252;6,650;-1,571;-1,065;4,521;0,230;6,650;-0,436;1,344;4,521;0,234;6,650;1,623;1,536;4,506;0,242;6,650;5,568;1,309;4,507;0,264;6,650;4,747;0,279;4,507;0,253
6,700;-0,803;1,658;3,999;0,221;6,700;-2,670;-0,279;3,999;0,223;6,700;-3,019;-0,611;3,999;0,224;6,700;-2,845;0,925;4,747;0,247;6,700;0,192;0,541;4,747;0,233;6,700;-0,105;-0,890;4,747;0,257;6,700;-1,030;1,693;4,995;0,256;6,700;-1,955;2,688;4,995;0,242;6,700;-0,873;1,868;4,995;0,234;6,700;-1,536;0,559;4,499;0,234;6,700;1,309;0,820;4,499;0,246;6,700;1,065;-0,454;4,499;0,242;6,700;0,052;-0,244;4,601;0,249;6,700;-2,478;-0,035;4,601;0,238;6,700;-4,730;-2,443;4,601;0,220;6,700;-4,224;-0,750;4,550;0,236;6,700;-3,264;0,070;4,550;0,236;6,700;4,677;0,489;4,550;0,263;6,700;2,217;-0,873;4,521;0,254;6,700;-2,601;-0,908;4,521;0,229;6,700;0,750;1,274;4,521;0,237;6,700;2,723;1,344;4,507;0,245;6,700;5,568;1,012;4,507;0,260;6,700;4,014;0,140;4,507;0,252
6,750;-0,262;1,920;3,999;0,220;6,750;-2,461;-0,157;3,999;0,223;6,750;-2,845;-0,541;3,999;0,224;6,750;-2,129;0,803;4,747;0,245;6,750;-0,803;0,803;4,747;0,233;6,750;0,855;-1,204;4,747;0,260;6,750;-0,559;1,379;4,995;0,257;6,750;-1,815;2,601;4,995;0,248;6,750;-1,169;2,077;4,995;0,238;6,750;-0,314;0,559;4,499;0,237;6,750;2,409;0,576;4,499;0,252;6,750;-0,157;-0,419;4,499;0,235;6,750;1,204;-0,506;4,601;0,250;6,750;-1,414;-0,157;4,601;0,245;6,750;-5,219;-2,286;4,601;0,227;6,750;-4,398;-0,436;4,550;0,234;6,750;-2,164;0,175;4,550;0,235;6,750;5,061;0,209;4,550;0,264;6,750;1,065;-0,942;4,521;0,240;6,750;-3,491;-0,681;4,521;0,223;6,750;1,902;1,134;4,521;0,238;6,750;3,683;1,100;4,507;0,253;6,750;5,306;0,750;4,507;0,261;6,750;3,107;0,035;4,507;0,249
6,800;0,297;2,164;3,999;0,221;6,800;-2,147;0,000;3,999;0,222;6,800;-2,601;-0,419;3,999;0,222;6,800;-1,292;0,593;4,747;0,249;6,800;-1,728;1,117;4,747;0,233;6,800;1,780;-1,518;4,747;0,263;6,800;-0,017;1,047;4,995;0,263;6,800;-1,553;2,426;4,995;0,247;6,800;-1,361;2,199;4,995;0,241;6,800;0,908;0,454;4,499;0,239;6,800;3,368;0,297;4,499;0,256;6,800;-1,361;-0,332;4,499;0,230;6,800;2,251;-0,803;4,601;0,259;6,800;-0,297;-0,349;4,601;0,243;6,800;-5,480;-2,094;4,601;0,237;6,800;-4,328;-0,140;4,550;0,237;6,800;-0,977;0,209;4,550;0,219;6,800;5,149;-0,052;4,550;0,260;6,800;-0,140;-0,977;4,521;0,235;6,800;-4,171;-0,436;4,521;0,235;6,800;2,932;0,925;4,521;0,247;6,800;4,451;0,838;4,507;0,256;6,800;4,782;0,506;4,507;0,261;6,800;2,042;0,000;4,507;0,243
6,850;0,855;2,374;3,999;0,222;6,850;-1,780;0,192;3,999;0,219;6,850;-2,286;-0,262;3,999;0,226;6,850;-0,367;0,332;4,747;0,260;6,850;-2,566;1,449;4,747;0,235;6,850;2,583;-1,815;4,747;0,260;6,850;0,506;0,716;4,995;0,262;6,850;-1,204;2,164;4,995;0,255;6,850;-1,431;2,234;4,995;0,244;6,850;2,077;0,297;4,499;0,243;6,850;4,119;0,000;4,499;0,262;6,850;-2,496;-0,192;4,499;0,233;6,850;3,176;-1,100;4,601;0,262;6,850;0,838;-0,593;4,601;0,250;6,850;-5,480;-1,850;4,601;0,227;6,850;-3,979;0,140;4,550;0,235;6,850;0,262;0,157;4,550;0,242;6,850;4,957;-0,279;4,550;0,260;6,850;-1,326;-0,942;4,521;0,236;6,850;-4,608;-0,157;4,521;0,227;6,850;3,805;0,681;4,521;0,252;6,850;4,974;0,541;4,507;0,262;6,850;4,032;0,314;4,507;0,252;6,850;0,855;0,017;4,506;0,232
6,900;1,379;2,513;3,999;0,220;6,900;-1,361;0,401;3,999;0,222;6,900;-1,920;-0,070;3,999;0,219;6,900;0,611;0,035;4,747;0,250;6,900;-3,264;1,763;4,747;0,237;6,900;3,246;-2,077;4,747;0,264;6,900;1,030;0,401;4,995;0,266;6,900;-0,785;1,868;4,995;0,254;6,900;-1,396;2,147;4,995;0,249;6,900;3,107;0,087;4,499;0,253;6,900;4,625;-0,297;4,499;0,265;6,900;-3,491;-0,017;4,499;0,232;6,900;3,892;-1,396;4,601;0,265;6,900;1,920;-0,873;4,601;0,253;6,900;-5,236;-1,588;4,601;0,228;6,900;-3,403;0,384;4,550;0,238;6,900;1,466;0,017;4,550;0,247;6,900;4,485;-0,471;4,550;0,259;6,900;-2,426;-0,838;4,521;0,230;6,900;-4,782;0,140;4,521;0,233;6,900;4,433;0,401;4,521;0,253;6,900;5,236;0,244;4,507;0,261;6,900;3,072;0,157;4,507;0,248;6,900;-0,349;0,087;4,506;0,233
6,950;1,868;2,618;3,999;0,225;6,950;-0,890;0,646;3,999;0,218;6,950;-1,518;0,157;3,999;0,218;6,950;1,571;-0,279;4,747;0,262;6,950;-3,770;2,059;4,747;0,237;6,950;3,700;-2,304;4,747;0,261;6,950;1,484;0,122;4,995;0,263;6,950;-0,314;1,536;4,995;0,260;6,950;-1,239;1,972;4,995;0,248;6,950;3,944;-0,175;4,499;0,253;6,950;4,887;-0,576;4,499;0,262;6,950;-4,328;0,209;4,499;0,232;6,950;4,398;-1,676;4,601;0,267;6,950;2,897;-1,169;4,601;0,258;6,950;-4,782;-1,309;4,601;0,228;6,950;-2,601;0,559;4,550;0,234;6,950;2,618;-0,175;4,550;0,240;6,950;3,752;-0,611;4,550;0,249;6,950;-3,403;-0,698;4,521;0,239;6,950;-4,695;0,436;4,521;0,235;6,950;4,782;0,122;4,521;0,264;6,950;5,236;-0,035;4,507;0,266;6,950;1,972;0,035;4,507;0,245;6,950;-1,553;0,227;4,506;0,230
7,000;2,269;2,653;3,999;0,226;7,000;-0,401;0,908;3,999;0,217;7,000;-1,082;0,401;3,999;0,218;7,000;2,461;-0,593;4,747;0,263;7,000;-4,067;2,321;4,747;0,238;7,000;3,927;-2,461;4,747;0,259;7,000;1,868;-0,087;4,995;0,258;7,000;0,157;1,204;4,995;0,262;7,000;-0,995;1,710;4,995;0,250;7,000;4,538;-0,454;4,499;0,262;7,000;4,869;-0,838;4,500;0,264;7,000;-4,922;0,489;4,499;0,233;7,000;4,625;-1,937;4,601;0,259;7,000;3,700;-1,484;4,601;0,262;7,000;-4,102;-1,030;4,601;0,227;7,000;-1,606;0,681;4,550;0,235;7,000;3,595;-0,419;4,550;0,254;7,000;2,810;-0,681;4,550;0,244;7,000;-4,206;-0,506;4,521;0,231;7,000;-4,328;0,716;4,521;0,234;7,000;4,869;-0,175;4,521;0,263;7,000;4,957;-0,279;4,507;0,261;7,000;0,768;-0,017;4,507;0,238;7,000;-2,688;0,419;4,506;0,226
7,050;2,583;2,618;3,999;0,231;7,050;0,105;1,187;3,999;0,216;7,050;-0,611;0,663;3,999;0,218;7,050;3,229;-0,890;4,747;0,265;7,050;-4,136;2,513;4,747;0,241;7,050;3,927;-2,583;4,747;0,254;7,050;2,129;-0,244;4,995;0,259;7,050;0,628;0,873;4,995;0,264;7,050;-0,681;1,396;4,995;0,256;7,050;4,869;-0,750;4,500;0,261;7,050;4,573;-1,065;4,500;0,261;7,050;-5,271;0,768;4,499;0,234;7,050;4,590;-2,129;4,601;0,262;7,050;4,311;-1,763;4,601;0,263;7,050;-3,229;-0,750;4,601;0,223;7,050;-0,471;0,733;4,550;0,235;7,050;4,381;-0,698;4,550;0,260;7,050;1,710;-0,716;4,550;0,240;7,050;-4,782;-0,279;4,521;0,240;7,050;-3,718;0,960;4,521;0,233;7,050;4,643;-0,454;4,521;0,261;7,050;4,398;-0,506;4,507;0,258;7,050;-0,471;-0,017;4,507;0,231;7,050;-3,683;0,646;4,506;0,232
7,100;2,793;2,531;3,999;0,235;7,100;0,593;1,449;3,999;0,215;7,100;-0,157;0,925;3,999;0,220;7,100;3,822;-1,152;4,747;0,263;7,100;-3,979;2,618;4,747;0,243;7,100;3,683;-2,635;4,747;0,250;7,100;2,269;-0,332;4,995;0,257;7,100;1,065;0,593;4,995;0,262;7,100;-0,314;1,065;4,995;0,257;7,100;4,904;-1,047;4,500;0,270;7,100;4,014;-1,239;4,499;0,257;7,100;-5,341;1,065;4,499;0,237;7,100;4,294;-2,286;4,601;0,259;7,100;4,677;-2,025;4,601;0,262;7,100;-2,199;-0,489;4,601;0,224;7,100;0,733;0,681;4,550;0,237;7,100;4,887;-0,977;4,550;0,259;7,100;0,489;-0,681;4,550;0,233;7,100;-5,096;0,000;4,521;0,238;7,100;-2,862;1,169;4,521;0,239;7,100;4,154;-0,698;4,521;0,262;7,100;3,613;-0,681;4,507;0,253;7,100;-1,693;0,035;4,507;0,232;7,100;-4,485;0,908;4,506;0,229
7,150;2,880;2,374;3,999;0,239;7,150;1,030;1,693;3,999;0,217;7,150;0,279;1,187;3,999;0,214;7,150;4,224;-1,379;4,747;0,263;7,150;-3,595;2,635;4,747;0,242;7,150;3,246;-2,618;4,747;0,244;7,150;2,269;-0,367;4,995;0,248;7,150;1,414;0,349;4,995;0,260;7,150;0,087;0,733;4,995;0,259;7,150;4,660;-1,309;4,499;0,259;7,150;3,229;-1,379;4,499;0,250;7,150;-5,114;1,361;4,499;0,237;7,150;3,735;-2,391;4,601;0,250;7,150;4,782;-2,251;4,601;0,261;7,150;-1,082;-0,279;4,601;0,234;7,150;1,955;0,559;4,550;0,244;7,150;5,131;-1,274;4,550;0,273;7,150;-0,785;-0,593;4,550;0,235;7,150;-5,149;0,279;4,521;0,233;7,150;-1,833;1,309;4,521;0,231;7,150;3,438;-0,908;4,521;0,257;7,150;2,601;-0,820;4,507;0,248;7,150;-2,845;0,140;4,507;0,226;7,150;-5,044;1,204;4,506;0,231
7,200;2,827;2,182;3,999;0,243;7,200;1,431;1,902;3,999;0,216;7,200;0,681;1,431;3,999;0,213;7,200;4,416;-1,536;4,747;0,259;7,200;-3,019;2,548;4,747;0,244;7,200;2,601;-2,531;4,747;0,241;7,200;2,129;-0,314;4,995;0,243;7,200;1,658;0,175;4,995;0,257;7,200;0,471;0,419;4,995;0,261;7,200;4,136;-1,553;4,499;0,258;7,200;2,234;-1,466;4,499;0,246;7,200;-4,643;1,641;4,499;0,237;7,200;2,967;-2,443;4,601;0,248;7,200;4,625;-2,443;4,601;0,258;7,200;0,105;-0,105;4,601;0,216;7,200;3,142;0,384;4,550;0,243;7,200;5,061;-1,553;4,550;0,264;7,200;-2,059;-0,436;4,550;0,228;7,200;-4,939;0,593;4,521;0,234;7,200;-0,663;1,361;4,521;0,231;7,200;2,513;-1,082;4,521;0,251;7,200;1,449;-0,908;4,507;0,241;7,200;-3,857;0,297;4,506;0,227;7,200;-5,358;1,501;4,506;0,231
7,250;2,653;1,955;3,999;0,248;7,250;1,780;2,077;3,999;0,214;7,250;1,047;1,641;3,999;0,216;7,250;4,363;-1,641;4,747;0,259;7,250;-2,286;2,391;4,747;0,246;7,250;1,815;-2,391;4,747;0,235;7,250;1,885;-0,192;4,995;0,241;7,250;1,798;0,070;4,995;0,256;7,250;0,838;0,140;4,995;0,260;7,250;3,386;-1,745;4,499;0,261;7,250;1,100;-1,484;4,499;0,238;7,250;-3,910;1,868;4,499;0,234;7,250;2,007;-2,426;4,601;0,236;7,250;4,206;-2,566;4,601;0,255;7,250;1,274;0,000;4,601;0,227;7,250;4,224;0,140;4,550;0,252;7,250;4,712;-1,815;4,550;0,265;7,250;-3,264;-0,244;4,550;0,232;7,250;-4,468;0,873;4,521;0,234;7,250;0,611;1,361;4,521;0,237;7,250;1,449;-1,222;4,521;0,248;7,250;0,175;-0,925;4,506;0,238;7,250;-4,677;0,489;4,506;0,230;7,250;-5,411;1,798;4,506;0,236
